173,Comparison Instructions,fcompp
174,Comparison Instructions,ficom
175,Comparison Instructions,ficomp
176,Comparison Instructions,ftst
177,Comparison Instructions,fxam
178,Transcendental Instructions,fptan
179,Transcendental Instructions,fatan
180,Transcendental Instructions,f2xml
181,Transcendental Instructions,fyl2x
182,Transcendental Instructions,fyl2xp1
183,Constant Instructions,fldl2e
184,Constant Instructions,fldl2t
185,Constant Instructions,fldlg2
186,Constant Instructions,fldln2
187,Constant Instructions,fldpi
188,Constant Instructions,fldz
189,Processor Control Instructions,finit
190,Processor Control Instructions,fnint
191,Processor Control Instructions,fnop
192,Processor Control Instructions,fsave
193,Processor Control Instructions,fnsave
194,Processor Control Instructions,fstcw
195,Processor Control Instructions,fnstcw
196,Processor Control Instructions,fstenv
197,Processor Control Instructions,fnstenv
198,Processor Control Instructions,fstsw
199,Processor Control Instructions,fnstsw
200,Processor Control Instructions,frstor
201,Processor Control Instructions,fwait
202,Processor Control Instructions,wait
203,Processor Control Instructions,fclex
204,Processor Control Instructions,fnclex
205,Processor Control Instructions,fdecstp
206,Processor Control Instructions,ffree
207,Processor Control Instructions,fincstp
